,Session ID,Author,Department,Abstract,Keywords
0,0,Jeroen van Baar,CLPS,"Predicting the behavior of others is an essential part of human cognition that enables strategic social behavior, such as cooperation, and is impaired in multiple clinical populations. Despite its ubiquity, social prediction poses a generalization problem that remains poorly understood: we can neither assume that others will simply repeat their past behavior in new settings, nor that their future actions are entirely unrelated to the past. Here we demonstrate that humans solve this challenge using a structure learning mechanism that uncovers other people’s latent, unobservable motives, such as greed and risk aversion. In three studies, participants were tasked with predicting the decisions of another player in multiple unique economic games. Participants achieved accurate social prediction by learning the hidden motivational structure underlying the player’s actions. This motive-based abstraction enabled participants to attend information diagnostic of the player’s next move and disregard irrelevant contextual cues. Moreover, participants who successfully learned another’s motives were more strategic in a subsequent competitive decision task with that player, reflecting the adaptive value of social prediction in everyday life. These findings demonstrate that advantageous social behavior hinges on parsimonious and generalizable mental models that leverage others’ goals and intentions.","['multiple unique economic games participants achieved accurate social prediction', 'disregard irrelevant contextual cues moreover participants', 'multiple clinical populations despite', 'ubiquity social prediction poses', 'motivebased abstraction enabled participants']"
1,0,Ifrah Idrees,Brown University - Computer Science,"The older population is set to more than double by 2050 worldwide, and conversational robots can play an essential role in improving their quality of life. In the last decade, there has been huge progress in the development of virtual conversational healthcare assistants and social robots, with emphasis on grounding natural language commands from the human to the user and having an engaging conversation with the purpose of setting medical reminders and/or to act as a companion.  We intend to build a conversational robot that can be used as a coach to help the elderly with Activities of Daily Living (ADL).  We will provide a proof of concept implementation and initial simulation results of a context-aware multi-modal dialogue manager for robots that aims to help the elderly complete the ADL safely. Our implementation interacts with the human and develops context-awareness by grounding dialogue in the sensory information received. It then fuses the current context with the user intent to learn a policy for carrying out a conversation with the elderly and guiding them in safely completing the sequential ADL task with a success rate of 73\%. We hope to work towards building a real-time multi-modal dialogue manager for robots that can generalize to all the  ADL activities. ","['setting medical reminders andor', 'realtime multimodal dialogue manager', 'contextaware multimodal dialogue manager', 'grounding natural language commands', 'virtual conversational healthcare assistants']"
2,0,Jiuyang Bai,CLPS,"For human, the ability of avoiding moving obstacle is taken for granted. However, modeling such behavior has been a long effort. Although various models have been published, few is perceptually plausible for human pedestrians. Major classes of pedestrian models rely on direct input of distance and velocity without explaining how pedestrians acquire this information. In other words, these models are based on unjustified assumptions on human perception, whereas a better model should be based on the control laws of behavior. The research I will present is about building a model of avoiding moving obstacles using visual information as the control variable. ","['avoiding moving obstacles using visual information', 'long effort although various models', 'human pedestrians major classes', 'avoiding moving obstacle', 'velocity without explaining']"
3,0,Monica Roy,Computer Science,"There are often times when we might want to be able to put robots in unknown locations and have them find specific objects in the environment for us. In some of these cases, we may know the full layout of the environment but might not want to go find the objects ourselves. For example, this could be the case if we are trying to obtain objects in a potentially hazardous environment. In such circumstances, giving the robot intermittent hints (as it is navigating the environment) about the locations of the desired objects relative to its current location should theoretically enable the robot to find the objects with greater ease and in a shorter period of time. The premise of my project is to set up a framework for a robot to take in natural language information as it navigates the unknown environment and use this to intelligently inform its search for the objects. There are two main questions that I wish to be able to answer through my project: 1. Do intermittent hints aid performance of the task? 2. How much information is necessary in order to more effectively and efficiently solve the task?","['intermittent hints aid performance', 'two main questions', 'robot intermittent hints', 'natural language information', 'desired objects relative']"
4,0,Kaiyu Zheng,Computer Science,"Humans have the ability to leverage natural language descriptions as a source of spatial information in search or navigation tasks in a new environment. Reproducing a similar ability in a robot} is of substantial benefit to untrained users who communicate via natural language, such as ``The truck is behind the building.'' However, spatial prepositions are ambiguous and subject to the speaker's personal interpretation of the scene geometry. Current approaches do not generalize to unconstrained language input or partially observable settings where the robot must act based on estimated distributions over references in the natural language. We propose a framework based on Partially Observable Markov Decision Processes (POMDPs), where information about the object location is provided in the form of spatial language observations. Additionally, we design neural network models for spatial predicates which positions and landmarks to a likelihood of the predicate holding true. For evaluation, we collect a dataset of spatial language descriptions corresponding to urban maps in 10 cities, and perform cross validation to show that our approach enables more efficient usage of the language description for object search.","['partially observable markov decision processes pomdps', 'scene geometry current approaches', 'design neural network models', 'building however spatial prepositions', 'leverage natural language descriptions']"
5,0,Gaelen Adam,"Heath Services, Policy, and Practice","Traditionally, literature identification for systematic reviews has relied on a two-step process: searching databases to identify potentially relevant citations, then manually screening those citations. We have developed a system to combine these steps, using semantic queries and human-in-the-loop semi-automation. We have developed an AI search engine that uses deep learning algorithms to find and rank relevant articles in records downloaded from MEDLINE based on a semantic query. The most relevant 100 articles are screened and tagged manually. These articles are used by the system to refine the search. This process is implemented iteratively until convergence is achieved or specified conditions are met. We will compare the sensitivity and burden of this system to the standard approach. As this project is ongoing, I will present the methods and limited empirical results from prospective application in one systematic review. A screener has annotated two sets of citations. The first 101-abstract iteration contained 41 citations that were screened as relevant, including 13 of the 79 articles in the draft report. The second included 87 new abstracts, of which 16 were screened as relevant, including an additional 6 of the 79 articles in the draft report. These preliminary results show potential for improving efficiency.","['first abstract iteration contained citations', 'uses deep learning algorithms', 'second included new abstracts', 'preliminary results show potential', 'steps using semantic queries']"
6,0,Ryan Miller,Neuroscience,"Shape recognition is a capability afforded by two principle modalities: vision and touch. Whether identifying a house key on a cluttered desk or in a pants pocket, the same basic process is being followed: collect shape information and compare it to a stored representation to determine if it is a match. Though a frequent topic of study in vision (and computer vision) research, shape recognition by touch is less well understood, as are the mechanisms supporting cross modal comparisons of shape. To explore these questions, ten participants took part in a study where they were asked to make a match/non-match determination of a large battery of serially presented novel shapes. These shapes could be presented visually or haptically and participants made comparisons both within and across modalities. We found that certain shape combinations were reliably easy or hard to compare, but that comparisons which were visually difficult weren’t necessarily the same as those that were haptically difficult. We also found that behavior on both visual-visual and haptic-haptic shape comparisons could be well predicted by shape-comparison models, but the models that work for vision are different from those that work for haptics, suggesting fundamental differences in haptic and visual shape recognition.","['questions ten participants took part', 'mechanisms supporting cross modal comparisons', 'computer vision research shape recognition', 'haptics suggesting fundamental differences', 'followed collect shape information']"
7,0,Cristina Menghini,Computer Science/Sapienza University,"The most important feature of Wikipedia is the presence of hyperlinks in pages. Link placement is the product of people's collaboration, consequently Wikipedia naturally inherits human bias. Due to the high influence that links' disposition has on users' navigation sessions, one needs to verify that, given a controversial topic, the hyperlinks' network does not expose users to only one side of the subject. A Wikipedia's topic-induced network that prevents users the discovery of different facets of an issue, suffers from structural bias. In this work, we define the static structural bias, which indicates if the strength of connections between pages of contrasting inclinations is the same, and the dynamic structural bias, which quantifies the network's level bias that users face over the course of their navigation sessions. 
Our measurements of structural bias on several controversial topics demonstrate its existence, revealing that users have low likelihood of reaching pages of opposing inclination from where they start, and that they navigate Wikipedia showing a behavior much more biased than the expected from the baselines. Our findings advance the relevance of the problem and pave the way for developing systems that automatically measure and propose hyperlink locations that minimize the presence and effects of structural bias.","['peoples collaboration consequently wikipedia naturally inherits human bias due', 'users navigation sessions one needs', 'several controversial topics demonstrate', 'navigate wikipedia showing', 'networks level bias']"
8,0,Iris Bahar,CS & Engineering,"Deep learning has gained much attention in the past few years, especially for object identification and classification problems.  Despite their strengths, neural networks have several shortcomings, such as their need for extremely large training sets, their “black box” decision making, and their inability to recover from incorrect inference.  In addition, the computational and energy resources needed to train these discriminative models can be quite immense, as they often require weeks or even months to adequately train.  Hybrid discriminative-generative algorithms offer a promising avenue for robust perception by balancing computational complexity with explainability and reasoning.  However, this approach may still not provide for real-time response to complex tasks, even after careful optimization.  Instead, we propose human-robot learning combined with complexity-aware computing to attain energy efficient real-time machine learning.  As a first goal, this research project seeks to explore how humans and intelligent computers can collaborate effectively by integrating technical functions with human cognitive processes.  A second goal is to develop complexity and energy optimized computing solutions.  The overall objective is to minimize energy consumption, improve response time, and be more likely to optimize users’ needs. ","['“ black box ” decision making', 'adequately train hybrid discriminativegenerative algorithms offer', 'minimize energy consumption improve response time', 'attain energy efficient realtime machine learning', 'propose humanrobot learning combined']"
9,1,Iris Bahar,CS & Engineering,"Deep learning algorithms based on convolutional neural networks (CNNs) have led to major improvements in accuracy for such tasks as object recognition. However, CNNs may not have sufficient robustness when presented with challenging or new scenarios (e.g, from unstructured or changing environments). Alternatively, algorithms based on Monte-Carlo
sampling have been widely adapted in robotics and other areas of engineering due to their performance robustness. However, these sampling-based approaches have high computational requirements, making them unsuitable for real-time applications with
tight energy constraints. In this talk, I will present our work on 6 degree-offreedom
(6DoF) pose estimation for robot manipulation using this method, which uses rendering combined with sequential Monte-Carlo sampling. While potentially very accurate, the significant computational complexity of the algorithm makes it less attractive for mobile robots, where runtime and energy consumption are tightly constrained. To address these challenges, we present a novel hardware implementation of Monte-Carlo sampling on an
FPGA with lower computational complexity and memory usage, while achieving high parallelism and modularization. Our results show 12X–21X improvements in energy efficiency over low-power and high-end GPU implementations, respectively. Moreover, we
achieve real time performance without compromising accuracy.","['achieve real time performance without compromising accuracy', 'results show x – x improvements', 'highend gpu implementations respectively moreover', 'changing environments alternatively algorithms based', 'object recognition however cnns may']"
